info_id,nbh_id,bed_number,count,min,max,avg,rental_income,median_value,median_night_rate,median_occupancy
1604,343912,0,11,1687,3420,2452.2727272727,3454.8263888889,2325.0,175,62
1605,343912,1,36,420,2863,1647.25,2107.6722222222,1690.0,85,71
1606,343912,2,23,717,3260,2013.6956521739,2474.2944444444,2118.0,104,70
1607,343912,3,11,469,3253,2087.0,2343.0972222222,2230.0,120,59
1608,343912,4,3,1789,3675,2514.3333333333,2935.0055555556,2079.0,108,80
1609,343912,5,1,5256,5256,5256.0,5360.025,5256.0,238,72
1610,343912,8,1,16892,16892,16892.0,16146.7888888889,16892.0,984,56
1611,343893,0,5,1687,2267,1955.2,2229.5416666667,1873.0,70,87
1612,343893,1,26,605,2851,1649.4230769231,1945.6527777778,1669.0,83,67
1613,343893,2,26,717,3260,2038.2307692308,2435.0569444444,2172.5,121,61
1614,343893,3,12,469,3614,2203.8333333333,2266.0416666667,2364.0,138,51
1615,343893,4,4,1789,3675,2682.25,3050.2340277778,2632.5,129,72
1616,343893,5,1,5256,5256,5256.0,5360.025,5256.0,238,72
1617,343894,0,5,1662,2068,1849.2,2229.5416666667,1867.0,70,87
1618,343894,1,30,420,2863,1525.4666666667,1921.496875,1476.5,81,68
1619,343894,2,24,356,3267,1901.4166666667,2347.0513888889,2077.0,124,58
1620,343894,3,12,722,3501,2197.5833333333,2266.0416666667,2274.0,138,51
1621,343894,4,4,1852,3538,2605.75,2991.9607638889,2516.5,131,70
1622,343894,5,1,5042,5042,5042.0,5129.2638888889,5042.0,242,68
1623,343894,8,1,15678,15678,15678.0,14944.2152777778,15678.0,985,52
1624,343908,0,15,565,3420,2378.2,3221.6319444444,2325.0,175,58
1625,343908,1,22,605,2592,1654.3636363636,1888.1652777778,1683.0,90,61
1626,343908,2,25,174,3260,1877.24,2253.0638888889,2054.0,102,65
1627,343908,3,7,2126,3253,2576.2857142857,3404.8416666667,2488.0,116,87
1628,343908,4,3,2079,4072,3275.3333333333,3056.875,3675.0,150,63
1629,342690,0,13,974,3330,1832.8461538462,2174.7916666667,1833.0,78,78
1630,342690,1,35,464,3186,1685.9714285714,2127.8486111111,1694.0,87,70
1631,342690,2,17,181,3306,1608.7647058824,1457.6680555556,1479.0,99,44
1632,342690,3,7,1353,4472,2642.0,3350.5986111111,2862.0,147,70
1633,342690,4,2,4274,10751,7512.5,7232.5763888889,7512.5,396,61
1634,342690,-1,1,2020,2020,2020.0,2367.4305555556,2020.0,80,83
1635,342684,0,13,974,3330,1832.8461538462,2174.7916666667,1833.0,78,78
1636,342684,1,35,464,3186,1703.3714285714,2222.4444444444,1572.0,87,73
1637,342684,2,15,513,3306,1796.1333333333,1944.3347222222,2092.0,103,56
1638,342684,3,8,1353,5479,3128.625,3524.6833333333,3033.5,197,57
1639,342684,4,2,4274,10751,7512.5,7232.5763888889,7512.5,396,61
1640,342684,-1,1,2020,2020,2020.0,2367.4305555556,2020.0,80,83
1641,342689,0,13,904,3510,1793.3846153846,2197.6041666667,1776.0,79,78
1642,342689,1,35,441,3010,1591.4857142857,2052.7194444444,1575.0,88,67
1643,342689,2,17,169,2850,1514.7058823529,1316.9402777778,1397.0,99,40
1644,342689,3,5,1125,4073,2463.2,2218.9972222222,2600.0,148,47
1645,342689,4,2,4193,10857,7525.0,7223.4513888889,7525.0,385,62
1646,342689,-1,1,2120,2120,2120.0,2485.0416666667,2120.0,80,87
1647,342678,0,12,904,3510,1840.0833333333,2154.7420138889,1793.5,77,79
1648,342678,1,29,441,3010,1655.275862069,2020.8833333333,1651.0,88,66
1649,342678,2,18,169,6921,1827.5,1471.1527777778,1465.0,103,43
1650,342678,3,5,1125,4073,2463.2,2218.9972222222,2600.0,148,47
1651,342678,4,1,4193,4193,4193.0,4107.9736111111,4193.0,347,40
1652,342678,-1,1,2120,2120,2120.0,2485.0416666667,2120.0,80,87
1653,342685,0,11,974,3330,1889.8181818182,2174.7916666667,1875.0,78,78
1654,342685,1,29,464,3186,1744.275862069,2127.8486111111,1721.0,87,70
1655,342685,2,17,181,7470,1853.7058823529,1457.6680555556,1479.0,99,44
1656,342685,3,5,1353,4472,2659.6,2369.2555555556,2862.0,148,50
1657,342685,4,1,4274,4274,4274.0,4120.9513888889,4274.0,369,38
1658,342685,-1,1,2020,2020,2020.0,2367.4305555556,2020.0,80,83
1659,274643,0,3,855,1924,1329.6666666667,1525.7,1210.0,47,81
1660,274643,1,6,12,1139,627.1666666667,826.9784722222,690.0,63,37
1661,274643,2,17,1055,2947,2023.2941176471,2198.4152777778,2067.0,101,64
1662,274643,3,6,1398,1964,1660.5,1785.0020833333,1626.0,127,44
1663,274643,4,3,2004,2893,2425.0,2716.7152777778,2378.0,105,76
1664,274643,5,5,1163,5308,3473.2,3611.9791666667,3314.0,141,78
1665,274643,6,1,3445,3445,3445.0,3730.0972222222,3445.0,136,83
1666,275818,0,4,372,1924,1090.25,1664.6788194444,1032.5,63,72
1667,275818,1,3,569,925,768.3333333333,866.7736111111,811.0,59,40
1668,275818,2,19,1055,2947,2111.0526315789,2126.8347222222,2093.0,101,62
1669,275818,3,5,1500,1849,1640.4,1643.1083333333,1601.0,132,39
1670,275818,4,3,2004,2893,2425.0,2716.7152777778,2378.0,105,76
1671,275818,5,5,1163,5308,3473.2,3611.9791666667,3314.0,141,78
1672,275818,6,1,3445,3445,3445.0,3730.0972222222,3445.0,136,83
1673,274645,0,3,372,1924,1050.3333333333,1714.0805555556,855.0,78,62
1674,274645,1,7,307,1200,876.1428571429,981.85,925.0,59,45
1675,274645,2,16,1155,2947,2200.9375,2171.8767361111,2191.0,103,63
1676,274645,3,4,1398,1849,1585.5,1785.0020833333,1547.5,127,44
1677,274645,4,3,2004,2893,2425.0,2716.7152777778,2378.0,105,76
1678,274645,5,3,2708,4873,3631.6666666667,3611.9791666667,3314.0,141,78
1679,274645,6,1,3445,3445,3445.0,3730.0972222222,3445.0,136,83
1680,276644,0,3,855,1924,1329.6666666667,1525.7,1210.0,47,81
1681,276644,1,2,925,2070,1497.5,1659.1024305556,1497.5,83,58
1682,276644,2,17,1431,2947,2142.0,2305.7861111111,2093.0,101,67
1683,276644,3,5,1500,1849,1640.4,1643.1083333333,1601.0,132,39
1684,276644,4,3,1546,2378,1976.0,2126.2263888889,2004.0,131,50
1685,276644,5,4,1163,5308,3664.5,4228.9305555556,4093.5,157,83
1686,276644,6,1,3445,3445,3445.0,3730.0972222222,3445.0,136,83
1687,274314,0,3,817,1791,1432.6666666667,1615.6319444444,1690.0,79,58
1688,274314,1,6,12,1878,847.5,1030.1111111111,907.0,70,42
1689,274314,2,16,724,2699,1921.5625,1983.6736111111,1957.5,101,58
1690,274314,3,4,1412,1926,1626.0,1946.2611111111,1583.0,126,48
1691,274314,4,3,1903,2905,2442.0,2859.1666666667,2518.0,108,78
1692,274314,5,3,2610,4106,3359.0,3634.7916666667,3361.0,142,78
1693,274314,6,1,3162,3162,3162.0,3405.0444444444,3162.0,136,76
1694,403138,0,70,1164,2914,1829.8,2039.209375,1742.5,87,68
1695,403138,1,187,935,3954,2193.2620320856,2357.2916666667,2038.0,100,69
1696,403138,2,117,1000,7005,3232.0598290598,3162.3194444444,3021.0,145,67
1697,403138,3,67,1495,9440,5080.9701492537,5232.6805555556,4880.0,260,65
1698,403138,4,10,5464,7310,6628.3,6779.7229166667,6620.5,374,60
1699,403138,5,4,5064,9922,6927.25,6710.0434027778,6361.5,336,66
1700,403138,6,4,4489,9988,7850.25,8271.3055555556,8462.0,383,71
1701,403491,0,32,1294,2809,1998.78125,2407.3524305556,1944.0,88,79
1702,403491,1,121,968,4066,2164.2644628099,2400.7875,2100.0,97,72
1703,403491,2,83,1012,5244,2666.578313253,2940.6833333333,2423.0,136,66
1704,403491,3,48,2809,8339,4617.5625,5059.5336805556,4336.0,245,67
1705,403491,4,9,5974,8446,7268.6666666667,7982.7527777778,6933.0,328,79
1706,403491,5,3,5266,6605,6145.0,6607.3111111111,6564.0,357,61
1707,403491,6,4,5781,9830,8001.25,8636.5083333333,8197.0,377,75
1708,121750,0,30,1101,2914,1923.4666666667,2247.2847222222,1900.0,83,77
1709,121750,1,113,968,4066,2137.3982300885,2448.3388888889,2100.0,96,74
1710,121750,2,65,1012,4981,2547.3846153846,2655.375,2247.0,128,63
1711,121750,3,38,2378,6440,4198.4210526316,4366.8194444444,4100.0,230,61
1712,121750,4,12,5344,8446,6753.3333333333,8389.6263888889,6571.5,348,79
1713,121750,5,5,3062,6605,5328.2,6379.9972222222,5266.0,357,59
1714,121750,6,3,7035,9830,8741.3333333333,9837.7638888889,9359.0,387,83
